Year,GDP,GDP at Factor Cost (% yoy),GDP at Public Sector(% yoy),GDP at Private Sector(% yoy),NDP at Factor Cost(% yoy),GNI at Factor Cost(% yoy),NNI at Factor Cost(% yoy),Net National Disposable Income(% yoy),Personal Disposable Income(% yoy),Overall BOP (Net Cr),Total Receipts (Cr),Total Expenditure (Cr),Gross Fiscal Deficit,Gross Primary Deficit,Total Expenditure,Total Exports (Cr),Net Trade Balance (Exports-Imports Cr),Consumption of Fixed Capital,Indirect taxes,Total Foreign Exchange Reserve (Cr),Consumption of Fixed Capital (CFC) By Economic Activity,Capital Formation by Assets and Institutions,Gross Domestic Saving (GDS),Gross Total Debt,Gross Domestic Product at Factor Cost,Gross Domestic Product at Market Prices,Gross National Income at Factor Cost (GNI),Personal Disposable Income,Private Final Consumption Expenditure in Domestic Market,Private Final Consumption Expenditure (PFCE),Government Final Consumption Expenditure,Gross Domestic Capital Formation,Gross Domestic Savings (GDS),Per Capita GDP at Factor Cost,Net Capital Stock,Net Fixed Capital Stock,PFCE in Domestic Market,SENSEX Closing Values,TOTAL BANK CREDIT (Amount Outstanding),Average Rate,GDP at Factor Cost,GDP at Public Sector,GDP at Private Sector,NDP at Factor Cost,GDP at Market Prices,NDP at Market Prices,GNI at Factor Cost,NNI at Factor Cost,GNI at Market Prices,PFCE in Domestic Market,PFCE,GFCE,GDCF,NDCF,CPI Inflation,INR-USD Ex Rate,"Industry, value added (% of GDP) proxy for IIP",WPI (2010-11 Base Year)
1985 - 1986,5.254299224,11.7,17.1,10.2,10.9,11.8,11,12,10.5,-1034,72020,75459,22174,13551,87312,10895,-8763,25137,26807,7819,25137,67954,53414,74436,262717,289524,261288,237677,221275,214154,33257,59648,53414,3480,838910,748919,221275,527.36,5111151.5,16.5,25.9,25.8,25.9,25.9,26,25.9,25.9,25.9,26,26.8,26.6,24.6,26.6,26.6,5.55 ,12.36875,25.69897896,19.66541709
1986 - 1987,4.77656417,11.5,18,9.5,11.4,11.4,11.3,11.7,11.8,69,81142,90292,30789,20148,92181,12452,-7644,28338,31025,8151,28338,76008,58693,79865,292924,323949,291119,265725,245279,240209,39322,65048,58693,3799,945774,845094,245279,524.45,5819883,18,27.7,28.3,27.5,27.6,27.8,27.7,27.7,27.6,27.8,28.9,28.9,26.6,28,27.8,8.72,12.61083333,25.88557597,20.75970239
1987 - 1988,3.965355634,13.4,15.8,12.6,13,13.2,12.7,13.2,13.4,1201,94745,100249,32432,19427,102541,15674,-6570,33192,36143,7686,33192,83223,73707,85978,332068,368211,329449,301253,274064,266649,46160,80532,73707,4214,1096266,986587,274064,442.17,6600276.5,17.2,30.3,30.8,30.2,30.3,30.3,30.3,30.3,30.3,30.3,31.3,31,28.9,30.6,30.4,8.79,12.9615,25.92340698,22.20289026
1988 - 1989,9.627782919,19.3,18.9,19.5,19.6,18.9,19.1,18.3,18.4,-105,109431,114533,35556,19109,117197,20232,-8004,38850,40598,7040,38850,104160,87492,101255,396295,436893,391799,356552,315430,310497,53280,99796,87492,4923,1257225,1127218,315430,666.26,7553333,17.3,32.9,34.3,32.4,32.7,32.8,32.7,32.8,32.7,32.8,33.7,34,31.6,33.8,33.5,9.39,13.91708333,25.79296701,24.13771355
1989 - 1990,5.947343329,15.2,16.4,14.8,15.1,15.1,14.9,14.4,14.7,947,126288,136901,42474,21973,139585,27658,-7670,45248,45388,6252,45248,120007,106730,130199,456540,501928,450809,409040,357392,346807,60997,119009,106730,5554,1445467,1295073,357392,778.64,8802707,17.4,35.7,36.8,35.3,35.5,35.6,35.4,35.6,35.4,35.5,36.6,36.2,34.4,37.2,37,7.11,16.2255,26.52685835,25.77385511
1990 - 1991,5.533454563,16.5,13.6,17.5,16.5,16.3,16.3,16.5,17.3,-4471,141666,153152,53320,28314,156226,32558,-10635,52650,54399,11416,52650,146018,134408,163001,531813,586212,524268,479712,408583,398529,69525,152604,134408,6339,1661241,1491824,408583,1048.29,10431193,17.492209,39.5,40.8,39,39.3,39.4,39.3,39.4,39.2,39.3,39.9,39.8,37.9,40.2,39.9,8.92,17.5035,26.49327042,28.10251538
1991 - 1992,1.056831432,15.4,19.4,14,14.6,15.1,14.2,14.9,14.2,7274,165230,172311,45328,14334,178310,44042,-3809,64627,60347,23850,64627,151563,143530,252910,613528,673875,603451,547898,470757,457735,78458,146907,143530,7167,1979590,1794064,470757,1908.85,12420293,22.711647,44.9,46.1,44.5,44.6,44.8,44.6,44.7,44.5,44.7,45,44.8,42.8,46.4,45.9,13.88,22.74243333,25.40083576,31.89418753
1992 - 1993,5.482396022,14.7,14.1,14.9,14.7,14.7,14.7,15,16.5,-881,183503,196043,50726,14862,200350,53688,-9686,74138,70822,30744,74138,187768,164621,280746,703723,774545,692078,638528,528167,516118,88846,178437,164621,8070,2251444,2035292,528167,2615.37,13670582,28.155817,48.9,51.3,48.1,48.6,48.8,48.6,48.6,48.4,48.7,49.4,49.2,46.9,49.9,49.2,11.88,25.91808333,25.76969943,35.67793008
1993 - 1994,4.750776219,16.2,13.8,17.1,16.8,16.4,17,16.1,15.8,26781,210719,223196,69794,27241,227299,69751,-3350,82856,73394,60420,82856,189737,192994,290418,817961,891355,805881,739464,605824,591308,103066,197785,192994,9170,2558501,2325850,605824,3346.06,16246729,31.291076,53.7,55.9,53,53.6,53.7,53.6,53.5,53.4,53.5,54.3,54,51.3,54,53.7,6.31,30.49329167,25.49759978,38.34531659
1994 - 1995,6.658924067,16.8,16.4,16.9,16.8,16.9,16.9,18.2,17.4,18160,256667,254372,70062,18129,260638,82674,-7297,96749,90205,79781,96749,242514,246668,311685,955385,1045590,942302,867809,697177,687154,114672,258561,246668,10499,2944457,2679088,697177,3926.9,17589127,31.393855,59,60.5,58.5,58.9,59,59,58.8,58.7,58.8,59.7,59.9,56.3,59.1,58.9,10.24,31.3737425,26.40525287,42.38769638
